ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2018;5;6;4;3;5;3;0;0;1;0;0;0;0;0;10.026012028;53.551960879
2;2018;4;12;4;3;3;6;0;0;1;0;0;1;1;0;9.93831028;53.576145451
2;2018;1;18;2;3;4;2;2;0;1;0;0;0;0;1;9.977969764;53.549358955
2;2018;4;23;3;3;5;3;2;1;1;0;0;0;0;1;9.987845487;53.603640176
2;2018;2;15;5;3;2;6;0;0;1;0;0;0;0;0;9.983924075;53.597449315
2;2018;3;15;3;2;6;4;0;0;1;1;0;0;0;0;9.894240561;53.471743717
2;2018;3;10;5;3;3;6;0;0;1;0;0;0;0;1;10.005745962;53.591754943
2;2018;4;10;6;3;5;7;0;0;1;0;1;0;0;0;9.991503449;53.592877149
2;2018;1;8;3;3;2;6;0;0;1;0;0;0;0;1;9.923280485;53.596576952
2;2018;2;22;6;3;9;1;2;0;1;0;0;0;0;0;10.026164937;53.484405762
2;2018;5;10;1;3;9;7;0;0;1;1;0;0;0;0;9.83393533;53.471702943
2;2018;4;14;3;3;2;6;0;0;1;0;0;0;0;0;9.863142961;53.571856001
2;2018;1;17;5;2;6;4;2;0;1;1;0;0;0;1;9.983862797;53.592226631
2;2018;2;11;7;3;2;6;0;0;1;0;0;0;0;0;9.963138447;53.448657506
2;2018;4;3;6;2;6;7;2;0;1;1;0;0;0;0;9.979173696;53.549235464
2;2018;3;19;7;3;2;6;2;0;1;0;0;0;0;0;9.96368189;53.579472924
2;2018;4;10;7;3;2;6;0;0;1;0;0;0;0;0;9.92307292;53.563828059
2;2018;1;21;2;2;2;6;2;0;1;0;0;0;0;1;10.096253532;53.540004788
2;2018;3;15;7;3;2;6;0;0;1;0;0;0;0;0;9.930324032;53.645904162
2;2018;5;16;2;3;5;3;0;1;1;0;0;0;0;0;9.922057963;53.56388623
2;2018;4;16;2;2;2;6;0;0;1;0;0;0;0;0;9.939862403;53.439454665
2;2018;1;13;1;3;5;3;0;0;1;0;0;0;0;0;9.858506584;53.571906015
2;2018;2;2;7;3;3;6;2;0;1;0;0;0;1;0;9.937888939;53.471020981
2;2018;1;7;3;3;5;2;2;0;1;0;0;0;0;0;10.040708875;53.552635546
2;2018;5;23;6;3;2;2;2;0;1;0;0;0;1;0;10.023772102;53.573024862
2;2018;3;11;5;3;2;6;0;0;1;0;0;1;0;1;9.852049661;53.57234358
2;2018;1;17;1;3;2;6;2;0;1;0;0;0;0;0;9.944063947;53.572821941
2;2018;2;10;4;3;5;7;0;0;1;0;0;0;0;0;9.891968651;53.471825611
2;2018;1;18;5;3;1;2;2;0;1;0;0;0;0;0;9.963568287;53.579323393
2;2018;5;10;7;3;5;3;0;1;1;0;0;0;0;0;9.996439152;53.611060769
2;2018;3;20;7;3;4;1;2;0;1;0;0;0;0;1;9.94804829;53.573400995
2;2018;1;17;3;3;2;6;2;0;1;0;0;0;0;0;9.964913359;53.580892018
2;2018;2;11;6;3;6;7;0;0;0;1;0;0;1;0;10.212496914;53.486692676
2;2018;4;9;5;3;2;6;0;0;1;0;0;0;0;0;9.928169568;53.641288899
2;2018;3;7;5;3;3;2;0;0;1;0;0;1;0;1;9.963990797;53.599778491
2;2018;4;11;6;3;0;3;0;1;1;0;0;0;1;0;9.93776324;53.625715167
2;2018;1;4;1;3;9;1;2;0;1;0;0;1;0;1;9.911606966;53.577568951
2;2018;5;7;5;3;2;6;0;0;1;0;0;0;0;0;9.933444012;53.563679215
2;2018;3;16;6;3;1;6;0;0;1;0;0;0;1;0;9.926410465;53.638973628
2;2018;5;18;7;3;0;7;0;1;1;0;0;0;0;0;9.997936663;53.59439242
2;2018;4;19;1;3;3;2;0;0;1;0;0;0;0;0;10.016232509;53.54544994
2;2018;1;12;5;3;2;6;0;0;1;0;0;0;1;2;9.988660935;53.457948112
2;2018;2;7;4;3;1;6;0;0;1;0;0;0;0;1;9.875220335;53.471904868
2;2018;5;6;5;3;1;5;0;0;1;0;0;0;0;0;10.039084034;53.558863505
2;2018;3;10;4;3;5;2;0;1;1;0;0;0;0;1;9.995537059;53.547423073
2;2018;2;10;3;3;2;6;0;0;1;0;0;0;0;0;10.002373906;53.547395302
2;2018;3;7;2;3;2;6;0;0;1;0;0;0;0;0;9.903965565;53.620664337
2;2018;4;12;2;3;3;6;0;0;1;0;0;1;0;0;9.919316385;53.605735717
2;2018;1;7;4;3;6;4;2;0;1;1;0;0;0;1;9.934801105;53.436383611
2;2018;2;6;3;3;0;3;1;0;1;1;0;0;0;0;10.218351882;53.485022316
2;2018;4;1;4;2;8;1;2;0;0;0;0;1;0;1;9.916197367;53.584558194
2;2018;3;7;3;3;9;1;0;0;0;0;0;1;0;1;9.913528318;53.498301067
2;2018;4;8;3;3;2;6;0;0;1;0;0;0;0;0;10.026384466;53.520389069
2;2018;1;13;5;3;3;6;0;0;1;0;0;1;0;0;10.059954843;53.5093725
2;2018;3;14;5;2;3;6;0;0;1;0;0;1;0;0;9.916229623;53.589821052
2;2018;5;9;4;3;2;6;0;0;0;0;0;1;0;0;10.129254494;53.524328522
2;2018;4;22;6;3;0;1;2;0;0;0;1;0;0;0;9.927293384;53.470063636
2;2018;1;18;3;3;2;6;2;0;1;0;0;0;0;1;9.868721685;53.47166291
2;2018;2;16;3;3;2;6;0;0;1;0;0;0;0;0;10.06022481;53.509367011
2;2018;5;8;4;3;4;2;0;0;1;0;0;0;0;0;9.958325082;53.647591367
2;2018;3;14;3;3;2;6;0;0;1;0;0;0;0;0;9.92110555;53.592979124
2;2018;2;7;5;3;2;6;1;0;1;0;0;0;0;1;10.003242469;53.592340775
2;2018;3;7;5;3;5;3;0;0;1;0;0;0;1;0;9.927953692;53.64099498
2;2018;3;12;6;3;2;6;0;0;1;0;0;0;0;0;9.868698515;53.571216231
2;2018;4;18;2;3;5;3;0;1;1;0;0;0;0;0;9.963875015;53.59988393
2;2018;1;12;4;3;3;6;0;0;1;0;0;1;0;0;9.978763552;53.549288789
2;2018;2;21;7;3;5;3;2;1;1;0;0;0;0;0;9.983922879;53.598068063
2;2018;5;17;2;3;5;3;0;1;1;0;0;0;0;0;10.047926945;53.552258296
2;2018;4;16;4;3;2;6;0;0;1;0;0;0;0;0;10.113947395;53.566019822
2;2018;1;8;5;3;2;7;1;0;1;0;0;0;1;1;10.100591371;53.510689117
2;2018;2;9;2;3;5;3;0;1;1;0;0;0;0;1;9.984478624;53.548164339
2;2018;2;14;3;3;4;6;0;0;1;0;0;0;1;2;10.213364562;53.486391735
2;2018;5;15;3;3;3;2;0;1;1;0;0;0;0;0;9.96584258;53.553124999
2;2018;4;13;5;3;5;2;0;1;1;0;0;0;0;0;9.922558478;53.470633985
2;2018;1;17;3;3;6;2;2;0;1;1;0;0;0;1;9.909805296;53.627434392
2;2018;2;9;2;3;3;6;0;0;1;0;0;1;1;1;10.070432508;53.50872574
2;2018;4;16;2;3;3;6;0;0;1;0;0;0;0;0;10.032416233;53.56213052
2;2018;3;14;3;3;5;3;0;1;1;0;0;0;0;0;9.978096868;53.549353263
2;2018;4;17;2;3;1;6;0;0;1;0;0;0;0;0;10.033388015;53.541892641
